"Step","non_iid - test/acc","non_iid - test/acc__MIN","non_iid - test/acc__MAX"
"0","0.3364","0.3364","0.3364"
"1","0.3793","0.3793","0.3793"
"2","0.4525","0.4525","0.4525"
"3","0.4854","0.4854","0.4854"
"4","0.5283","0.5283","0.5283"
"5","0.6472","0.6472","0.6472"
"6","0.7659","0.7659","0.7659"
"7","0.7338","0.7338","0.7338"
"8","0.6734","0.6734","0.6734"
"9","0.797","0.797","0.797"
"10","0.896","0.896","0.896"
"11","0.8966","0.8966","0.8966"
"12","0.9504","0.9504","0.9504"
"13","0.9414","0.9414","0.9414"
"14","0.9452","0.9452","0.9452"
"15","0.9457","0.9457","0.9457"
"16","0.9006","0.9006","0.9006"
"17","0.8601","0.8601","0.8601"
"18","0.9023","0.9023","0.9023"
"19","0.95","0.95","0.95"
"20","0.9597","0.9597","0.9597"
"21","0.9494","0.9494","0.9494"
"22","0.9376","0.9376","0.9376"
"23","0.9169","0.9169","0.9169"
"24","0.9537","0.9537","0.9537"
"25","0.9663","0.9663","0.9663"
"26","0.9602","0.9602","0.9602"
"27","0.9612","0.9612","0.9612"
"28","0.9722","0.9722","0.9722"
"29","0.9647","0.9647","0.9647"
"30","0.9674","0.9674","0.9674"
"31","0.9697","0.9697","0.9697"
"32","0.9756","0.9756","0.9756"
"33","0.9725","0.9725","0.9725"
"34","0.8968","0.8968","0.8968"
"35","0.8659","0.8659","0.8659"
"36","0.9678","0.9678","0.9678"
"37","0.9641","0.9641","0.9641"
"38","0.9684","0.9684","0.9684"
"39","0.974","0.974","0.974"
"40","0.9766","0.9766","0.9766"
"41","0.9736","0.9736","0.9736"
"42","0.9714","0.9714","0.9714"
"43","0.9716","0.9716","0.9716"
"44","0.9723","0.9723","0.9723"
"45","0.9768","0.9768","0.9768"
"46","0.9794","0.9794","0.9794"
"47","0.977","0.977","0.977"
"48","0.9785","0.9785","0.9785"
"49","0.9771","0.9771","0.9771"
"50","0.9614","0.9614","0.9614"
"51","0.9727","0.9727","0.9727"
"52","0.9794","0.9794","0.9794"
"53","0.9806","0.9806","0.9806"
"54","0.981","0.981","0.981"
"55","0.9835","0.9835","0.9835"
"56","0.9812","0.9812","0.9812"
"57","0.9791","0.9791","0.9791"
"58","0.9794","0.9794","0.9794"
"59","0.977","0.977","0.977"
"60","0.9797","0.9797","0.9797"
"61","0.9808","0.9808","0.9808"
"62","0.9784","0.9784","0.9784"
"63","0.9824","0.9824","0.9824"
"64","0.9789","0.9789","0.9789"
"65","0.9786","0.9786","0.9786"
"66","0.9842","0.9842","0.9842"
"67","0.9828","0.9828","0.9828"
"68","0.9832","0.9832","0.9832"
"69","0.9827","0.9827","0.9827"
"70","0.9858","0.9858","0.9858"
"71","0.9844","0.9844","0.9844"
"72","0.98","0.98","0.98"
"73","0.9851","0.9851","0.9851"
"74","0.9841","0.9841","0.9841"
"75","0.9853","0.9853","0.9853"
"76","0.9868","0.9868","0.9868"
"77","0.9822","0.9822","0.9822"
"78","0.9858","0.9858","0.9858"
"79","0.9864","0.9864","0.9864"
"80","0.9871","0.9871","0.9871"
"81","0.9808","0.9808","0.9808"
"82","0.9826","0.9826","0.9826"
"83","0.9867","0.9867","0.9867"
"84","0.9856","0.9856","0.9856"
"85","0.9823","0.9823","0.9823"
"86","0.9858","0.9858","0.9858"
"87","0.983","0.983","0.983"
"88","0.9848","0.9848","0.9848"
"89","0.9832","0.9832","0.9832"
"90","0.9834","0.9834","0.9834"
"91","0.9811","0.9811","0.9811"
"92","0.9801","0.9801","0.9801"
"93","0.9841","0.9841","0.9841"
"94","0.9848","0.9848","0.9848"
"95","0.9865","0.9865","0.9865"
"96","0.9853","0.9853","0.9853"
"97","0.9842","0.9842","0.9842"
"98","0.9833","0.9833","0.9833"
"99","0.9852","0.9852","0.9852"
"100","0.9698","0.9698","0.9698"
"101","0.9769","0.9769","0.9769"
"102","0.9854","0.9854","0.9854"
"103","0.9864","0.9864","0.9864"
"104","0.988","0.988","0.988"
"105","0.9873","0.9873","0.9873"
"106","0.9873","0.9873","0.9873"
"107","0.9891","0.9891","0.9891"
"108","0.9862","0.9862","0.9862"
"109","0.9865","0.9865","0.9865"
"110","0.9811","0.9811","0.9811"
"111","0.9879","0.9879","0.9879"
"112","0.9887","0.9887","0.9887"
"113","0.9879","0.9879","0.9879"
"114","0.9845","0.9845","0.9845"
"115","0.9857","0.9857","0.9857"
"116","0.9864","0.9864","0.9864"
"117","0.9793","0.9793","0.9793"
"118","0.9771","0.9771","0.9771"
"119","0.9731","0.9731","0.9731"
"120","0.9872","0.9872","0.9872"
"121","0.9859","0.9859","0.9859"
"122","0.9861","0.9861","0.9861"
"123","0.988","0.988","0.988"
"124","0.9874","0.9874","0.9874"
"125","0.9893","0.9893","0.9893"
"126","0.9861","0.9861","0.9861"
"127","0.9866","0.9866","0.9866"
"128","0.9873","0.9873","0.9873"
"129","0.986","0.986","0.986"
"130","0.9889","0.9889","0.9889"
"131","0.9886","0.9886","0.9886"
"132","0.9875","0.9875","0.9875"
"133","0.9859","0.9859","0.9859"
"134","0.989","0.989","0.989"
"135","0.9883","0.9883","0.9883"
"136","0.9891","0.9891","0.9891"
"137","0.9859","0.9859","0.9859"
"138","0.9884","0.9884","0.9884"
"139","0.9901","0.9901","0.9901"