"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.9397","0.9397","0.9397"
"1","0.9555","0.9555","0.9555"
"2","0.9651","0.9651","0.9651"
"3","0.9704","0.9704","0.9704"
"4","0.9736","0.9736","0.9736"
"5","0.976","0.976","0.976"
"6","0.9767","0.9767","0.9767"
"7","0.979","0.979","0.979"
"8","0.9796","0.9796","0.9796"
"9","0.9806","0.9806","0.9806"
"10","0.9814","0.9814","0.9814"
"11","0.9829","0.9829","0.9829"
"12","0.982","0.982","0.982"
"13","0.9822","0.9822","0.9822"
"14","0.984","0.984","0.984"
"15","0.984","0.984","0.984"
"16","0.9854","0.9854","0.9854"
"17","0.9858","0.9858","0.9858"
"18","0.986","0.986","0.986"
"19","0.986","0.986","0.986"
"20","0.9858","0.9858","0.9858"
"21","0.9867","0.9867","0.9867"
"22","0.9868","0.9868","0.9868"
"23","0.9878","0.9878","0.9878"
"24","0.987","0.987","0.987"
"25","0.9878","0.9878","0.9878"
"26","0.9876","0.9876","0.9876"
"27","0.9873","0.9873","0.9873"
"28","0.9874","0.9874","0.9874"
"29","0.9882","0.9882","0.9882"
"30","0.9882","0.9882","0.9882"
"31","0.9889","0.9889","0.9889"
"32","0.989","0.989","0.989"
"33","0.9882","0.9882","0.9882"
"34","0.9884","0.9884","0.9884"
"35","0.9892","0.9892","0.9892"
"36","0.9894","0.9894","0.9894"
"37","0.9897","0.9897","0.9897"
"38","0.9892","0.9892","0.9892"
"39","0.9889","0.9889","0.9889"
"40","0.9881","0.9881","0.9881"
"41","0.9888","0.9888","0.9888"
"42","0.9894","0.9894","0.9894"
"43","0.9889","0.9889","0.9889"
"44","0.9889","0.9889","0.9889"
"45","0.9898","0.9898","0.9898"
"46","0.9894","0.9894","0.9894"
"47","0.9889","0.9889","0.9889"
"48","0.9892","0.9892","0.9892"
"49","0.9903","0.9903","0.9903"